ID,Show,Title,Artist,JD,Hunter,Steve,Dave,YACHTSKI,Cover Art
2,YON67,Dreadlock Holiday,10cc,8,30,9,11,14.5,https://i.scdn.co/image/3f2411a24e014e49ac6a6b26ba2334fdc48699cf
3,YON67,I'm Not In Love,10cc,15,30,33,27,26.25,https://i.scdn.co/image/7c8ea7e4f2b3481705250740a60b5744b5518012
1,YON04,Don't Turn Me Away,10cc,55,68,41,35,49.75,https://i.scdn.co/image/8d2d584f81baa046a222f5e144193242f8a6e731
4,YON46,The Name of the Game,Abba,15,23,22,18,19.5,https://i.scdn.co/image/f53c3cc7228a5ac768371fa8f35db6891b7aa7ff
5,YON23,How Long,Ace,57,57,55,53,55.5,https://i.scdn.co/image/6b31dc077ca6d242266bd60d35cf4504ca7dfcfe
6,YON44,The Way I Feel,Adrian Gurvitz,72,57,53,65,61.75,https://i.scdn.co/image/3ece634d2168fba8e2885d6fd28fd9a99d75ca19
7,YON66,The Wonder of it All,Adrian Gurvitz,72,60,64,65,65.25,https://i.scdn.co/image/3ece634d2168fba8e2885d6fd28fd9a99d75ca19
8,YON67,All Out Of Love,Air Supply,2,18,30,10,15,https://i.scdn.co/image/ddd80b1608fc5fc214a80e9844071bad2d3cc47f
9,YON67,Even The Nights Are Better,Air Supply,28,30,40,28,31.5,https://i.scdn.co/image/d0ec61af251bf4f0a89b4a899702055d359ff9e6
10,YON04,Nothin' You Can Do About It,Airplay,92,100,100,95,96.75,https://i.scdn.co/image/f3de3961f752257ea3182e7338ddb01046c31de6
11,YON29,Someday My Prince May Come,Akiko Yano,45,42,35,42,41,https://img.discogs.com/uDcs4teopGZi6Modldc8CU7pWTw=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-1852193-1508996832-1151.jpeg.jpg
12,YON36,I Sing,Akiko Yano,45,50,36,39,42.5,https://img.discogs.com/uDcs4teopGZi6Modldc8CU7pWTw=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-1852193-1508996832-1151.jpeg.jpg
18,YON59,Raging Waters,Al Jarreau,33,49,38,42,40.5,https://i.scdn.co/image/757104e7eef989aa57352682366581dac9719c46
16,YON16,Moonlighting,Al Jarreau,58,56,67,55,59,https://i.scdn.co/image/fed53f21941b925514d9ba67989ce8753b8c9d24
15,BYR71,We're In This Love Together,Al Jarreau,85,76,87,75,80.75,https://i.scdn.co/image/0f9398c3e9c4ae03aa46caa6d274b6835c8e28d6
17,YON22,Boogie Down,Al Jarreau,82,82,78,82,81,https://i.scdn.co/image/df271c12096be73f91fc37392ba163db559672e2
14,BYR47,Breakin' Away,Al Jarreau,80,84,78,83,81.25,https://i.scdn.co/image/4b117a1a0086664e45dfde8340496717ac47779b
13,BYR18,Mornin',Al Jarreau,94,91,97,89,92.75,https://i.scdn.co/image/df271c12096be73f91fc37392ba163db559672e2
19,YON28,Since I Fell For You,"Al Jarreau, Bob James & David Sanborn",18,30,15,22,21.25,https://i.scdn.co/image/b58758ac1a057908e5958f10c34c8bcf35d97178
20,YON07,Year of the Cat,Al Stewart,29,23,24,41,29.25,https://i.scdn.co/image/656235893936f1890c28841b510e5c1201d75741
21,YON52,Time Passages,Al Stewart,32,41,32,38,35.75,https://i.scdn.co/image/cef5d926949295d7ffa7a66de93d95b5aff0dccb
22,YON67,Show and Tell,Al Wilson,9,22,16,12,14.75,https://i.scdn.co/image/5922f11eb30381ac9774c539fd3c68cb98f2f973
23,YON25,Diary of A Fool,Alan Gorrie,35,51,49,42,44.25,https://img.discogs.com/t4tABpe3-t_q-R_Y9mYwDx3EhVE=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-3361601-1343083336-1130.jpeg.jpg
25,YON11,Undercover Angel,Alan O'Day,53,51,23,45,43,https://i.scdn.co/image/e483816adad8b7d10ddcca3513665ab4b903d078
24,YON08,People Who Talk to Themselves,Alan O'Day,80,55,53,72,65,https://img.discogs.com/_Rh5hlto-UEpWoZD7wBSRalEarQ=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-2624322-1329401959.jpeg.jpg
26,YON09,Beside You,Alan Sorrenti,82,84,83,79,82,https://img.discogs.com/Dh5yFxu8Sar9ol_XRsQEGdra9Gg=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-1575125-1442757883-4709.jpeg.jpg
27,BYR75,Thicke of the Night,Alan Thicke,67,69,63,74,68.25,https://img.discogs.com/GkPcV4vvqwUajrxfaBIpL9qY76A=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-3238804-1321827929.jpeg.jpg
29,YON14,Seabird,Alessi Brothers,38,22,20,32,28,https://i.scdn.co/image/347ab69967cb8e80309f3a411a94a95835f6b568
28,BYR66,Jagged Edge,Alessi Brothers,86,90,88,87,87.75,https://i.scdn.co/image/6681f4b9477b1368e3a86764c994befba5dc7049
30,YON23,From the Inside,Alice Cooper,33,50,32,32.5,36.875,https://i.scdn.co/image/80233cf8bdd52d44b44b979779853088cabfbdc9
32,YON02,"Nice, Nice, Very Nice",Ambrosia,5,20,65,15,26.25,https://i.scdn.co/image/73f977a0b081d810530c83ccf31afb49ae7cc596
35,YON65,How Much I Feel,Ambrosia,60,59,68,53,60,https://i.scdn.co/image/d58c278d7e05fac51475b6a0a6cdcf6dfb99ca9d
34,YON51,How Can You Love Me,Ambrosia,65,62,72,67,66.5,https://i.scdn.co/image/a3932a60440a1af66d9f6eb025f304a98d755d70
33,YON19,You're the Only Woman,Ambrosia,62,81,73,60,69,https://i.scdn.co/image/81ed5f7df3dbfcc8a5d6acc850abf716c9b57296
31,BYR61,Biggest Part of Me,Ambrosia,62,72,91,65,72.5,https://i.scdn.co/image/81ed5f7df3dbfcc8a5d6acc850abf716c9b57296
36,YON19,Arbuckle's Swan Song,Ambulance LTD,25,39,31,25,30,https://i.scdn.co/image/19697cdbcb5220d98fd88785b89c29a272da2f6d
40,YON58,Sister Golden Hair,America,2,5,9,5,5.25,https://i.scdn.co/image/ea864b8f1f6c51095f980d4527571d070075a1fe
42,YON67,Ventura Highway,America,0.5,20,11,4,8.875,https://i.scdn.co/image/f9304905ec724e0bcef4a49e40c589f8029efd4a
41,YON67,A Horse With No Name,America,1,19,15,2,9.25,https://i.scdn.co/image/f37595b52a0bd640cf4db60b7ca443396942acce
43,YON67,Daisy Jane,America,7,19,22,15,15.75,https://i.scdn.co/image/b06f7f867e818725b98ef8f572a5fb142d823cd2
39,YON46,The Border,America,40,43,38,32,38.25,https://i.scdn.co/image/c86fadeb41f152eef1cf0b85a4d28e725f1dbfcd
37,YON12,You Can Do Magic,America,45,48,35,25,38.25,https://i.scdn.co/image/dbb619e3ec9c1c86b0e766c53e21e5aa65e5d76c
38,YON46,Right Before Your Eyes,America,40,50,49,34,43.25,https://i.scdn.co/image/dbb619e3ec9c1c86b0e766c53e21e5aa65e5d76c
44,YON62,(I Hang) On Your Every Word,Amy Holland,62,69,71,64,66.5,https://img.discogs.com/OZA4usvY_gkbXiM2mJFhTzPq4MU=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-2630414-1331316816.jpeg.jpg
46,YON54,Lonely Boy,Andrew Gold,20,35,35,28,29.5,https://i.scdn.co/image/bc3ed8b1d6c059a507640eb46c504d14d8763429
45,YON35,Thank You For Being A Friend,Andrew Gold,37,34,31,37,34.75,https://i.scdn.co/image/f238e3e06d4c689dd1d96d0776feb0e089e59ef3
47,YON36,I Go For You,Andy Gibb,38,31,28,32,32.25,https://i.scdn.co/image/b3364dc6762e82e5823d225817ceb9d6e2387d21
48,BYR81,When I Can't Have You,Anne Murray,57,56,64,52,57.25,https://i.scdn.co/image/f56b5e0a95eb34e26237f358da0e865ded97f1fa
49,YON41,Take It Easy,Archie James Cavanaugh,46,49,40,38,43.25,https://i.scdn.co/image/c9c95f787d60cc7d8a34d9b5a29f23290edecb2f
50,YON43,What A Fool Believes,Aretha Franklin,59,73,56,63,62.75,https://i.scdn.co/image/9dca22415551220794c5d1339fe2259b2b11cea4
51,BYR73,Sail On A Rainbow,Art Garfunkel,67,49,62,55,58.25,https://i.scdn.co/image/cccad8cc3d2418dfaeaffcecbeca8ebd222d139a
52,YON26,In A Little While (I'll Be On My Way),Art Garfunkel,65,61,71,72,67.25,https://i.scdn.co/image/cccad8cc3d2418dfaeaffcecbeca8ebd222d139a
53,YON37,Spooky,Atlanta Rhythm Section,19,31,22,22,23.5,https://i.scdn.co/image/c9dc23cd213de73c049f0be62baa2d390aa4d4ff
54,YON42,Alien,Atlanta Rhythm Section,47,51,44,38,45,https://i.scdn.co/image/decd18fa6871db100f82bf4c243d9e509f0572e7
55,YON28,So Into You,Atlanta Rhythm Section,75,73,68,62,69.5,https://i.scdn.co/image/24dc5486c51b2c68b9c5d42a6424996b49549e1f
56,YON16,Change,Attitudes,80,76,72,69,74.25,https://i.scdn.co/image/01247a126860835036ca5f568d7f14be7c985a43
57,YON05,Shine,Average White Band,80,86,90,85,85.25,https://img.discogs.com/r9NCanKoRBAoQNMCrOMYuPG-ogY=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-1245161-1286967442.jpeg.jpg
59,YON57,The Part You Play,Baby Teeth,9,7,8,15,9.75,https://i.scdn.co/image/121b614daab681fde0c027ca3496c2e58e6b38f5
60,YON14,Sailin' On,Bad Brains,2,2,0.9,5,2.475,https://i.scdn.co/image/3d70d9c426563303a8b548a9790fc4f5a2c2af48
62,YON28,I Found You Love,Barbra Streisand,25,27,27,20,24.75,https://i.scdn.co/image/6727bf8378a821b82b2b263150b10d5bfb7cb8bc
61,YON05,Splish Splash,Barbra Streisand,49,33,29,25,34,https://i.scdn.co/image/af7fbf9e1e0e040824980c49efea2478af6fe309
63,YON05,Guilty,Barbra Streisand & Barry Gibb,65,60,64,52,60.25,https://i.scdn.co/image/7fe93b63480bbc022bb52ebf7624280260a5e8f1
64,YON29,Let's Get On With It,Barry Manilow,72,90,77,62,75.25,https://i.scdn.co/image/23a3419eff484cca9472e40c1507abd40652f901
65,YON56,Jane,Ben Folds Five,12,12,20,28,18,https://i.scdn.co/image/0cd5228d0bdab82aaba3a42330b18ccc9f2f87ab
67,YON30,Step By Step,Benny Hester,62,67,64,71,66,https://i.scdn.co/image/d03fe9da85617b9a2ecba5cd43fe075705d93e62
66,BYR64,Come Back,Benny Hester,68,77,68,73,71.5,https://i.scdn.co/image/d03fe9da85617b9a2ecba5cd43fe075705d93e62
68,YON54,Into The Night,Benny Mardones,30,35,33,41,34.75,https://i.scdn.co/image/ddc80cb39a1cceb581174a44757d5e59f44611d6
70,YON70,Just Another Day in Paradise,Bertie Higgins,38,20,35,25,29.5,https://i.scdn.co/image/2300045d1d7e884fe9d1307818b17cafa7256aab
69,BYR49,Key Largo,Bertie Higgins,40,31,43,45,39.75,https://i.scdn.co/image/3803202417d0c093c2ee6a022265635001a0da75
72,YON46,Take It Uptown,Bill Champlin,65,54,71,58,62,https://i.scdn.co/image/e0cf5ec0f2e17b486e7de04cbd8e62c35c617257
74,YON64,One Way Ticket,Bill Champlin,72,71,79,84,76.5,https://i.scdn.co/image/699710c10f61cb4f56f6fa8cdc5ec849e7bc30c8
73,YON53,I Don't Want You Anymore,Bill Champlin,88,89,88,90,88.75,https://i.scdn.co/image/d5a458c0b9506cd96880f39e025f2c1bc942f508
71,BYR16,Runaway,Bill Champlin,90,92,94,89,91.25,https://i.scdn.co/image/e0cf5ec0f2e17b486e7de04cbd8e62c35c617257
77,YON31,Look Who's Lonely Now,Bill LaBounty,90,83,89,82,86,https://i.scdn.co/image/472be5bb9a8dd13ccf973b0daf00ea04ecfa6d49
75,BYR06,Livin' It Up,Bill LaBounty,87,88,92,84,87.75,https://i.scdn.co/image/472be5bb9a8dd13ccf973b0daf00ea04ecfa6d49
76,YON27,Dream On,Bill LaBounty,91,90,93,86,90,https://i.scdn.co/image/472be5bb9a8dd13ccf973b0daf00ea04ecfa6d49
78,YON03,Lovely Day,Bill Withers,75,48,44,70,59.25,https://i.scdn.co/image/57c2428d48bbff0a995b521b97b2eb46a9191172
79,YON68,Just the Two Of Us,Bill Withers,69,71,72,75,71.75,https://i.scdn.co/image/c5a5fc28c3f20874571f117ff1fe1e3af5fe733e
81,YON68,Caribbean Queen,Billy Ocean,52,53,45,45,48.75,https://i.scdn.co/image/36a0b98ac6d66873e5e16ddf78769d4e60b45a04
80,YON29,Rock-A-Bye Baby,Billy Ocean,62,49,58,65,58.5,https://i.scdn.co/image/64379149095aeb81f0fa6d7892319793e78bef72
82,YON04,In Thee,Blue Oyster Cult,7,23,13,15,14.5,https://i.scdn.co/image/b8cb64d7c2682b9d8530a5bd10762649a653701f
83,YON69,Ride Captain Ride,Blues Image,9,21,14,18,15.5,https://i.scdn.co/image/a5b024f1c4a52b25e21dfcc8eb620fce13a751a9
84,YON49,Angela,Bob James,55,51,51,52,52.25,https://i.scdn.co/image/90d2e0bee645dbb1fcf0f00d3ff051af76d38791
86,YON38,Bombs Away,Bob Weir,40,34,40,20,33.5,https://img.discogs.com/QwaPTfY8wSpIyLIERni5LgJFROk=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-620960-1241292424.jpeg.jpg
85,YON32,Heaven Help The Fool,Bob Weir,46,49,41,42,44.5,https://i.scdn.co/image/cadf62a61ec90d2d6b8964022799d834ffa9691e
87,YON32,Don't Let Me Fall,Bob Welch,62,58,52,55,56.75,https://i.scdn.co/image/212ac1a5074b0fce149b327ca21eaef08814e7af
89,YON16,Fraulein,Bobby Caldwell,78,69,69,60,69,https://i.scdn.co/image/2651ab50d3539bf0b8ad6534b68e8ea57f8a447b
88,YON07,What You Won't Do for Love,Bobby Caldwell,75,84,70,65,73.5,https://i.scdn.co/image/f383a45a71c4381575d12631ac9d48a09a0297ca
90,YON23,Can't Say Goodbye,Bobby Caldwell,77,83,78,72,77.5,https://i.scdn.co/image/f383a45a71c4381575d12631ac9d48a09a0297ca
91,YON24,Coming Down From Love,Bobby Caldwell,82,85,80,78,81.25,https://i.scdn.co/image/f956742a25dfd22086cec7f9348fd41883dcf39d
92,YON24,Show Me The Light,Bobby Martin,92,85,85,88,87.5,https://img.discogs.com/bBOIF0IZQCgbXS2DmJrtBlEGsXM=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-7140006-1434609110-9112.jpeg.jpg
93,YON41,You've Really Got A Hold On Me,Bobby McFerrin,25,33,23,30,27.75,https://i.scdn.co/image/2dbb1f556c4a8bc0111b6766c53acd82e0b4c10d
94,YON64,I'll Put Some Love,Booker T. Jones,78,81,74,78,77.75,https://img.discogs.com/itoljDiS-HDFxzFS6X1KDB8MNYo=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-2119254-1265063650.jpeg.jpg
96,YON19,Lido Shuffle,Boz Scaggs,65,45,40,40,47.5,https://i.scdn.co/image/80a11515b02eb74904b3139221ec4dbc2043700d
95,BYR23,Look What You've Done to Me,Boz Scaggs,51,50,53,58,53,https://i.scdn.co/image/5e57c1915be3e6ca97c211e39e93ce040ad74b14
99,YON37,Miss Sun,Boz Scaggs,56,51,54,54,53.75,https://i.scdn.co/image/b9fd24606a9129962cacd666f7fa0ae41a517447
97,YON24,Jojo,Boz Scaggs,72,71,74,68,71.25,https://i.scdn.co/image/5e57c1915be3e6ca97c211e39e93ce040ad74b14
100,YON44,Simone,Boz Scaggs,73,74,85,69,75.25,https://i.scdn.co/image/b9fd24606a9129962cacd666f7fa0ae41a517447
98,YON33,Lowdown,Boz Scaggs,87,96,94,79,89,https://i.scdn.co/image/f75ee96adad9474f121d986d564ec9ba01c40c95
101,YON69,Baby I'm-A Want You,Bread,8,16,25,12,15.25,https://i.scdn.co/image/f5fddb29b931c01085578508e3175751a78e48ff
102,YON42,One Out Of Two,Breakbot,62,48,58,65,58.25,https://i.scdn.co/image/558c688b23de7e0173390e96a644fc59995ee1f3
105,BYR68,Two Eyes,Brenda Russell,66,63,67,59,63.75,https://i.scdn.co/image/479b0f26fe4f435c155e9d1d3778940c70215203
106,BYR70,New York Bars,Brenda Russell,79,80,76,66,75.25,https://i.scdn.co/image/479b0f26fe4f435c155e9d1d3778940c70215203
104,BYR53,Lucky,Brenda Russell,87,72,66,78,75.75,https://i.scdn.co/image/1e0a2d70170572ac4632df5868c25e3fad572bb4
103,BYR48,Hello People,Brenda Russell,88,88,78,82,84,https://i.scdn.co/image/479b0f26fe4f435c155e9d1d3778940c70215203
108,YON45,Room To Grow,Brian Elliot,61,57,53,48,54.75,https://i.scdn.co/image/6b8a0c80dad7c61ff5cf3e6f111c3bf6b37ae8f2
109,YON60,On the Clock,Bronze,50,52,55,46,50.75,https://i.scdn.co/image/cb80b38d6ccf4ca639bcbc402dd97623b3cb080d
111,YON53,Sad Eyes,Brooklyn Dreams,42,56,42,42,45.5,https://img.discogs.com/h_ZI-99Kb8GO1si_Z5X0E1gTuKI=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-1405763-1216911004.jpeg.jpg
110,BYR70,I Won't Let Go,Brooklyn Dreams,62,87,72,81,75.5,https://img.discogs.com/jzgfc5NUFHxrP1aSucybfGz1Obo=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-6000319-1409221095-2783.jpeg.jpg
112,YON20,Summertime,Brother Love,10,6,3,4,5.75,https://i.scdn.co/image/eb7140e71465df5f63b8e6d874081953737106c6
114,YON25,Never Turnin' Back,Bruce Hibbard,53,71,68,58,62.5,https://img.discogs.com/5arXSMpz7G2iMlCrv_UKTfXpTWo=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-1894465-1250767824.jpeg.jpg
115,YON24,Mandolin Rain,Bruce Hornsby,12,14,15,21,15.5,https://i.scdn.co/image/7d60a39ceb39ae324b48d82b18163d1642c89e65
116,BYR69,Cool Fool,Bruce Roberts,62,76,63,58,64.75,https://i.scdn.co/image/a84775c8a01665cb800798aca9d62df8db05f8cb
117,YON23,Straight Up & Down,Bruno Mars,5,4,3,6,4.5,https://i.scdn.co/image/63ddbd647a5a4e672da6b6eb29cfc38c985bffca
120,YON63,Right Through the Heart,Byrne & Barnes,78,74,69,67,72,https://img.discogs.com/zaa0b8qBUHmn2WKb3inotPIyd-E=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-6102099-1489211376-2647.jpeg.jpg
119,YON10,Love You Out of Your Mind,Byrne & Barnes,81,86,83,75,81.25,https://img.discogs.com/zaa0b8qBUHmn2WKb3inotPIyd-E=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-6102099-1489211376-2647.jpeg.jpg
118,BYR60,Keep On Running,Byrne & Barnes,87,88,81,78,83.5,https://img.discogs.com/zaa0b8qBUHmn2WKb3inotPIyd-E=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-6102099-1489211376-2647.jpeg.jpg
121,YON55,Wing and A Prayer,Camel,29,29,37,35,32.5,https://i.scdn.co/image/6a134ad39aaeaf9aa541de342ff859fec17a5f75
122,BYR10,Love Will Keep Us Together,Captain & Tenille,59,45,51,52,51.75,https://i.scdn.co/image/700f3cb2f99401010d3acab6744cb1264ffa8280
123,YON21,No Love In the Morning,Captain & Tennille,39,23,38,27,31.75,https://i.scdn.co/image/7f5e7141a096c8e909453cd1761172a1855387aa
124,YON35,Of The Times,Carl Wilson,39,38,33,35,36.25,https://i.scdn.co/image/fd76cbb84bb29ba7321de455f921db83df3295e3
125,YON05,Nobody Does it Better,Carly Simon,29,12,14,15,17.5,https://i.scdn.co/image/2e815bdec9a9d0e73fed8efe029041b1f2594456
126,YON37,Stronger Than Before,Carole Bayer Sager,60,58,53,49,55,https://i.scdn.co/image/18ce78d0213d0ebd40ca85411c5cbc6f1cf8c2d5
127,BYR70,Lucky One (New York Boy),Carrera,57,71,77,68,68.25,https://img.discogs.com/xPizYQ91E91hYERVEJt1OifqZmc=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-3612882-1357896057-7520.jpeg.jpg
128,BYR45,Through the Fire,Chaka Khan,87,81,76,82,81.5,https://i.scdn.co/image/2d3143a44c124074da3ff8cab412c81f6a067ab3
129,YON61,Listen! (I Just Want You),Charlie Dore,57,48,42,32,44.75,https://i.scdn.co/image/61b6bd088f34893cbfd4b1f9374430e2f2d4db60
130,YON15,Messin' With The Boys,Cherie and Marie Currie,39,33,19,30,30.25,https://i.scdn.co/image/e7881923b073c5b25a4248c89a842e386d5b5f8e
132,YON26,Hard For Me to Say I'm Sorry,Chicago,25,39,29,38,32.75,https://i.scdn.co/image/c6bb2d807439dc2533260805646b971743588e66
133,YON59,Bad Advice,Chicago,45,41,47,32,41.25,https://i.scdn.co/image/7821592e3420efed20b01edeb7a3dd32e84f2ce7
131,YON07,Sonny Think Twice,Chicago,75,45,62,60,60.5,https://i.scdn.co/image/7821592e3420efed20b01edeb7a3dd32e84f2ce7
135,YON70,"My Girl (Gone, Gone, Gone)",Chilliwack,39,31,44,32,36.5,https://i.scdn.co/image/5b476afba8064857043b43ce4b208daf9435da57
134,YON14,I Believe,Chilliwack,41,46,53,40,45,https://i.scdn.co/image/5b476afba8064857043b43ce4b208daf9435da57
136,YON25,Runnin' Around,China,88,65,72,72,74.25,https://img.discogs.com/Jtt2jUN2ZvDzGUdrHdg7YuELcR8=/fit-in/150x150/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-6127139-1428310516-2084.jpeg.jpg
137,YON63,You Did Cut Me,China Crisis,59,49,61,47,54,https://i.scdn.co/image/a7a2ee332730e43bf31f0d2ddaa8215e7083e0fd
138,YON36,Don`t Give Up On Us,Chris Christian & Christopher Cross,69,80,75,77,75.25,https://img.discogs.com/pRIYGXco1r66vNHCjCFUEFj_fFE=/fit-in/300x300/filters:strip_icc():format(jpeg):mode_rgb():quality(40)/discogs-images/R-3224388-1338674456-8299.jpeg.jpg
139,YON36,Fool If You Think It's Over,Chris Rea,42,42,34,42,40,https://i.scdn.co/image/a087b71c0a087309639da84581e5bf04a33760a5
140,BYR70,Arthur's Theme (Best You Can Do),Christopher Cross,50,56,62,57,56.25,https://i.scdn.co/image/a6769fd0c2e99bff3b17f9e4a0d81f7e25f6a874
145,YON69,I Really Don't Know Anymore,Christopher Cross,90,89,92,87,89.5,https://i.scdn.co/image/c344aa116fbe04782135a7914c11554ae430ce84
